Date|Symbol|Short Volume|Total Volume|Market
20151214|KW|77560|120320|N
20151214|KWN|1521|1821|N
20151214|KWR|11040|19934|N
20151214|KYE|28787|259192|N
20151214|KYN|202188|629997|N
20151214|KYNPRE|2828|3284|N
20151214|KYNPRF|3600|12123|N
20151214|KYNPRG|0|195|N
20151214|KYO|1930|3629|N
20151214|L|414551|718165|N
20151214|LAD|56976|105035|N
20151214|LADR|34131|64393|N
20151214|LAZ|117717|247870|N
20151214|LB|120687|179392|N
20151214|LBF|3475|7929|N
20151214|LC|843840|1200367|N
20151214|LCI|107121|153885|N
20151214|LCM|3257|7283|N
20151214|LDF|320|1540|N
20151214|LDL|12640|31240|N
20151214|LDOS|48544|96381|N
20151214|LDP|13731|41206|N
20151214|LDR|7666|13209|N
20151214|LEA|126961|554918|N
20151214|LEE|6077|122306|N
20151214|LEG|168132|272835|N
20151214|LEJU|18408|32498|N
20151214|LEN|671824|1347201|N
20151214|LENB|5242|11604|N
20151214|LEO|2840|22976|N
20151214|LF|162692|279856|N
20151214|LFC|135186|243481|N
20151214|LFL|82516|117222|N
20151214|LG|37751|74162|N
20151214|LGF|269010|352522|N
20151214|LGI|2255|11245|N
20151214|LH|78701|189714|N
20151214|LHO|229178|377272|N
20151214|LHOPRH|3581|4381|N
20151214|LHOPRI|100|400|N
20151214|LII|40727|67753|N
20151214|LITB|2578|2778|N
20151214|LL|154550|232124|N
20151214|LLL|73535|244140|N
20151214|LLY|546071|1250040|N
20151214|LM|223816|449867|N
20151214|LMT|340729|501743|N
20151214|LNC|365841|760832|N
20151214|LNCWS|0|0|N
20151214|LND|0|100|N
20151214|LNKD|110937|273844|N
20151214|LNN|9709|24370|N
20151214|LNT|174097|228451|N
20151214|LOCK|172500|325376|N
20151214|LOR|18237|26890|N
20151214|LOW|689394|1278888|N
20151214|LPG|23659|41498|N
20151214|LPI|427034|675196|N
20151214|LPL|65090|98572|N
20151214|LPT|99118|313878|N
20151214|LPX|331926|463536|N
20151214|LQ|427370|679975|N
20151214|LRN|19853|52911|N
20151214|LTC|44143|69860|N
20151214|LUB|307|2893|N
20151214|LUK|596360|1331093|N
20151214|LUV|911313|1690332|N
20151214|LUX|17810|53607|N
20151214|LVLT|311704|528859|N
20151214|LVS|778118|1801134|N
20151214|LXFR|1860|5347|N
20151214|LXFT|19922|37972|N
20151214|LXK|83384|171656|N
20151214|LXP|222334|484882|N
20151214|LXPPRC|20|100|N
20151214|LXU|81916|131189|N
20151214|LYB|467154|845335|N
20151214|LYG|483808|731746|N
20151214|LYV|220611|383676|N
20151214|LZB|43268|103024|N
20151214|M|1103735|2240752|N
20151214|MA|810705|1364440|N
20151214|MAA|64702|103484|N
20151214|MAC|110302|269684|N
20151214|MAIN|59447|75746|N
20151214|MAN|108019|170747|N
20151214|MANU|1485|7575|N
20151214|MAS|503168|1013066|N
20151214|MATX|51925|103416|N
20151214|MAV|10097|18721|N
20151214|MBI|1063211|1374142|N
20151214|MBLY|240857|456883|N
20151214|MBT|336613|859875|N
20151214|MC|23903|37807|N
20151214|MCA|3017|13847|N
20151214|MCC|91694|173066|N
20151214|MCD|1169807|3128831|N
20151214|MCI|14088|15759|N
20151214|MCK|125723|258945|N
20151214|MCN|2291|9790|N
20151214|MCO|127895|271639|N
20151214|MCQ|0|630|N
20151214|MCR|17556|33913|N
20151214|MCRN|42853|64627|N
20151214|MCS|5135|16987|N
20151214|MCV|1000|1000|N
20151214|MCY|37195|51815|N
20151214|MD|104534|173599|N
20151214|MDC|114131|161351|N
20151214|MDLY|4748|7218|N
20151214|MDP|17313|37772|N
20151214|MDR|344012|774253|N
20151214|MDT|885614|2173390|N
20151214|MDU|204991|386868|N
20151214|MED|26335|42841|N
20151214|MEG|115723|198999|N
20151214|MEI|110474|187721|N
20151214|MEN|9521|28053|N
20151214|MEP|7677|121227|N
20151214|MERPRD|19535|28047|N
20151214|MERPRE|23286|29343|N
20151214|MERPRF|14439|21510|N
20151214|MERPRK|32443|51144|N
20151214|MERPRM|26046|51332|N
20151214|MERPRP|25845|34533|N
20151214|MET|1162625|2126310|N
20151214|METPRA|15609|22567|N
20151214|MFA|409898|825531|N
20151214|MFAPRB|7478|13993|N
20151214|MFC|812218|1135825|N
20151214|MFD|2327|9960|N
20151214|MFG|50295|81400|N
20151214|MFL|8243|26130|N
20151214|MFM|25825|53968|N
20151214|MFO|9452|14953|N
20151214|MFT|7580|11256|N
20151214|MFV|1375|2419|N
20151214|MG|10280|20239|N
20151214|MGA|176410|377822|N
20151214|MGF|2237|18056|N
20151214|MGM|936988|1731796|N
20151214|MGR|8320|12565|N
20151214|MGU|7133|16126|N
20151214|MHD|4184|14124|N
20151214|MHF|5723|17655|N
20151214|MHFI|122929|285208|N
20151214|MHG|2698|19303|N
20151214|MHI|17581|29296|N
20151214|MHK|71222|122136|N
20151214|MHN|3062|10237|N
20151214|MHNA|1660|3100|N
20151214|MHNB|0|1922|N
20151214|MHNC|4103|6189|N
20151214|MHO|42145|66969|N
20151214|MHOPRA|300|300|N
20151214|MHPRA|3992|6394|N
20151214|MHPRC|2271|13483|N
20151214|MHY|17192|31609|N
20151214|MIC|81157|231685|N
20151214|MIE|12169|103562|N
20151214|MIL|13125|92193|N
20151214|MIN|34628|74337|N
20151214|MITT|28740|68692|N
20151214|MITTPRA|431|1815|N
20151214|MITTPRB|6843|12856|N
20151214|MIXT|6097|8941|N
20151214|MIY|14760|25991|N
20151214|MJN|323925|541653|N
20151214|MKC|93795|141057|N
20151214|MKCV|348|848|N
20151214|MKL|5495|13987|N
20151214|MLI|18263|63259|N
20151214|MLM|55965|90031|N
20151214|MLP|203|233|N
20151214|MLR|6007|10047|N
20151214|MMC|477723|925168|N
20151214|MMD|2834|20733|N
20151214|MMI|16168|43942|N
20151214|MMM|610858|921158|N
20151214|MMP|144474|286493|N
20151214|MMS|75399|138735|N
20151214|MMT|13260|52228|N
20151214|MMU|6360|27891|N
20151214|MN|20483|32498|N
20151214|MNE|122|5544|N
20151214|MNI|55057|104606|N
20151214|MNK|199724|346527|N
20151214|MNP|4763|11716|N
20151214|MNR|33149|71776|N
20151214|MNRPRA|31|451|N
20151214|MNRPRB|0|1285|N
20151214|MO|1275145|2304635|N
20151214|MOD|40398|58554|N
20151214|MODN|7624|11911|N
20151214|MOGA|21532|47109|N
20151214|MOGB|0|100|N
20151214|MOH|72999|127101|N
20151214|MON|851144|1926078|N
20151214|MORE|304594|412108|N
20151214|MOS|969669|1887039|N
20151214|MOV|23570|50134|N
20151214|MPA|1787|2150|N
20151214|MPC|695276|1767453|N
20151214|MPG|7311|15562|N
20151214|MPLX|113394|873815|N
20151214|MPO|8585|14183|N
20151214|MPPRD|0|92|N
20151214|MPSX|7476|34577|N
20151214|MPV|2909|4739|N
20151214|MPW|494583|776393|N
20151214|MPX|941|5168|N
20151214|MQT|3398|19639|N
20151214|MQY|8164|13934|N
20151214|MR|102390|228466|N
20151214|MRC|225653|456847|N
20151214|MRIN|9821|17962|N
20151214|MRK|1814868|3869499|N
20151214|MRO|1630806|2962955|N
20151214|MS|1971306|3682976|N
20151214|MSA|21646|35144|N
20151214|MSB|5968|21592|N
20151214|MSCA|3000|10600|N
20151214|MSCI|121459|361603|N
20151214|MSD|3739|11593|N
20151214|MSF|836|1775|N
20151214|MSG|8430|21322|N
20151214|MSGN|105815|195771|N
20151214|MSI|155254|292040|N
20151214|MSK|38523|69750|N
20151214|MSL|13291|16725|N
20151214|MSM|55629|75758|N
20151214|MSP|6085|20432|N
20151214|MSPRA|31849|43470|N
20151214|MSPRE|13571|44959|N
20151214|MSPRF|25828|32148|N
20151214|MSPRG|13771|22732|N
20151214|MSPRI|32056|43984|N
20151214|MT|766786|1672237|N
20151214|MTB|138918|216695|N
20151214|MTBPR|0|100|N
20151214|MTBPRC|0|33|N
20151214|MTBWS|0|20|N
